表格 1
Id;Nombre;UTM Est (X);UTM Nord (Y);Longitud;Latitud;Comarca;Ambit;Tipologia;Estat de conservacio;Proteccio;Acces;Us actual;Titularitat;Prehistoric;Paleolitic;Neolitic;Edats dels Metalls;Antic;Iberic;Roma;Pre-romanic;Romanic;Medieval;Modern;Contemporani
23;Jaciment de la font de l'Ametllo;391584;4573550;1.7049;4.130.613;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Dificil;Sense us;Publica;;;;;;;;;;Medieval;;
24;Jaciment de mas Rabassa;392939;4576996;1.720.466.647;4.133.733.748;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Dolent;Legal;Facil;Productiu;Privada;;;;;Antic;;Roma;;;;;
25;Jaciment de Sant Joan de Viladellops;394159;4573357;173.568;4.130.473;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Facil;Productiu;Privada;;;;;Antic;;Roma;;;;;
26;La Torrota;394494;4578761;173.874;4.135.344;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Bo;Legal;Facil;Alters;Privada;;;;;Antic;;Roma;;;;;
27;Les Carreteres;395505;4573421;175.175;4.130.548;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Dificil;Sense us;Privada;;;;;Antic;Iberic;;;;;;
28;Les Planes;392415;4574484;171.465;4.131.465;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Facil;Sense us;Privada;;;;;Antic;;Roma;;;;;
29;Necropolis de Sant Cugat de Moja;390450;4575755;169.095;4.132.583;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Bo;Legal;Facil;Sense us;Privada;;;;;;;;;;Medieval;Modern;Contemporani
30;Necropolis de Sant Pere Molanta;394915;4577493;17.439.852;4.134.207.746;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Dolent;Legal;Facil;Altres;Privada accessible;;;;;;;;;Romanic;Medieval;;
31;Pou Nou;394463;4579018;173.833;4.135.575;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Facil;Productiu;Privada;Prehistoric;;;Edats dels Metalls;;;;;;;;
32;Pous iberics de Moja;390411;4575762;1.690.485.473;413.258.932;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Facil;Social;Publica;;;;;Antic;Iberic;;;;;;
33;Pujolet de Moja;390890;4576650;169.605;4.133.395;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Facil;Productiu;Privada;Prehistoric;;Neolitic;Edats dels Metalls;;;;;;;;
34;Restes al torrent de Fotallada;394964;4576617;174.473;413.342;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Dolent;Legal;Facil;Sense us;Privada;;;;;;;;;;;;
35;Taller de Fontanilles;392728;4574323;171.842;4.131.324;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Facil;Sense us;Privada;Prehistoric;;Neolitic;;;;;;;;;
36;Taller dels Forats de la Fita;393530;4573026;172.823;4.130.167;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Dificil;Altres;Privada;Prehistoric;;Neolitic;;;;;;;;;
37;Torre de la Fot de l'Atmetllo;391642;4573566;170.558;4.130.628;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Dolent;Legal;Dificil;Sense us;Privada;;;;;;;;;;Medieval;;
38;Villa Concha;390412;4575598;169.052.862;4.132.440.751;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Dolent;Legal;Facil;Social;Privada;;;;;Antic;;Roma;;;;;
39;Villa Maimona;394491;4577989;173.884;4.134.649;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Facil;Productiu;Privada;;;;;Antic;;Roma;;;;;
40;Vinya del Tico/ Can Torres;394800;4576740;174.275;4.133.528;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Regular;Legal;Facil;Productiu;Privada;;;;;Antic;Iberic;;;;;;
41;Pla dels Albats;392278;4573423;171.321;4.130.508;Alt Penedes;Patrimoni immoble;Jaciment arqueologic;Bo;Legal;Facil;Cientific;Publica;;;;;;;;Pre-romanic;;;;
